r,tau,v
0.0,0.1,0.0
0.01,0.1,0.006748996808940248
0.02,0.1,0.013495368996341246
0.03,0.1,0.02023597498017694
0.04,0.1,0.02696782184166295
0.05,0.1,0.03368793971819053
0.06,0.1,0.04039336655436832
0.07,0.1,0.04708114425932966
0.08,0.1,0.053748317649334826
0.09,0.1,0.060391934310142205
0.1,0.1,0.0670090448113094
0.11,0.1,0.07359670306670639
0.12,0.1,0.08015196675989127
0.13,0.1,0.08667189780148124
0.14,0.1,0.09315356280607018
0.15,0.1,0.09959403358517852
0.16,0.1,0.10599038765670847
0.17,0.1,0.11233970877307745
0.18,0.1,0.11863908747085951
0.19,0.1,0.12488562164497038
0.2,0.1,0.13107641715040422
0.21,0.1,0.13720858843443984
0.22,0.1,0.14327925920212706
0.23,0.1,0.1492855631177614
0.24,0.1,0.15522464454496532
0.25,0.1,0.16109365932793981
0.26,0.1,0.16688977561640658
0.27,0.1,0.17261017473670917
0.28,0.1,0.17825205211155953
0.29,0.1,0.18381261823089146
0.3,0.1,0.18928909967629826
0.31,0.1,0.19467874020152245
0.32,0.1,0.1999788018715033
0.33,0.1,0.20518656626248682
0.34,0.1,0.21029933572573226
0.35000000000000003,0.1,0.2153144347173552
0.36,0.1,0.22022921119686514
0.37,0.1,0.22504103809698373
0.38,0.1,0.2297473148673119
0.39,0.1,0.23434546909444776
0.4,0.1,0.2388329582011428
0.41000000000000003,0.1,0.24320727122708058
0.42,0.1,0.2474659306938585
0.43,0.1,0.2516064945567168
0.44,0.1,0.2556265582455488
0.45,0.1,0.25952375679767803
0.46,0.1,0.26329576708483543
0.47000000000000003,0.1,0.26694031013670944
0.48,0.1,0.27045515356336985
0.49,0.1,0.2738381140787695
0.5,0.1,0.2770870601274173
0.51,0.1,0.28019991461618793
0.52,0.1,0.28317465775309464
0.53,0.1,0.2860093299946687
0.54,0.1,0.28870203510339254
0.55,0.1,0.291250943316425
0.56,0.1,0.2936542946265781
0.5700000000000001,0.1,0.29591040217624964
0.58,0.1,0.29801765576465905
0.59,0.1,0.29997452546839626
0.6,0.1,0.30177956537488954
0.61,0.1,0.30343141742791624
0.62,0.1,0.30492881538381233
0.63,0.1,0.30627058887645525
0.64,0.1,0.30745566758848625
0.65,0.1,0.30848308552554804
0.66,0.1,0.30935198538954733
0.67,0.1,0.31006162304614676
0.68,0.1,0.31061137208074346
0.6900000000000001,0.1,0.3110007284362054
0.7000000000000001,0.1,0.31122931512454
0.71,0.1,0.31129688700346253
0.72,0.1,0.3112033356075364
0.73,0.1,0.3109486940221354
0.74,0.1,0.31053314178695257
0.75,0.1,0.3099570098141209
0.76,0.1,0.30922078530424035
0.77,0.1,0.3083251166417024
0.78,0.1,0.30727081824866753
0.79,0.1,0.3060588753749093
0.8,0.1,0.30469044879845253
0.81,0.1,0.303166879409555
0.8200000000000001,0.1,0.301489692648078
0.8300000000000001,0.1,0.29966060276170897
0.84,0.1,0.29768151684986444
0.85,0.1,0.2955545386553665
0.86,0.1,0.2932819720632847
0.87,0.1,0.29086632426361314
0.88,0.1,0.28831030853180145
0.89,0.1,0.2856168465785931
0.9,0.1,0.28278907041822426
0.91,0.1,0.2798303237018341
0.92,0.1,0.2767441624610303
0.93,0.1,0.27353435520497377
0.9400000000000001,0.1,0.2702048823131916
0.9500000000000001,0.1,0.26675993466569575
0.96,0.1,0.263203911451887
0.97,0.1,0.25954141710036643
0.98,0.1,0.2557772572730918
0.99,0.1,0.2519164338695034
1.0,0.1,0.2479641389893236
1.01,0.1,0.24392574780678
1.02,0.1,0.2398068103140868
1.03,0.1,0.23561304189816734
1.04,0.1,0.23135031272187212
1.05,0.1,0.22702463588933808
1.06,0.1,0.2226421543846802
1.07,0.1,0.21820912678383345
1.08,0.1,0.21373191175110512
1.09,0.1,0.2092169513447671
1.1,0.1,0.20467075316970568
1.11,0.1,0.20009987142975377
1.12,0.1,0.19551088694762053
1.1300000000000001,0.1,0.1909103862362677
1.1400000000000001,0.1,0.18630493972193934
1.1500000000000001,0.1,0.18170107923565035
1.16,0.1,0.17710527490660033
1.17,0.1,0.1725239116073993
1.18,0.1,0.167963265116934
1.19,0.1,0.16342947818186226
1.2,0.1,0.15892853667170534
1.21,0.1,0.154466246034982
1.22,0.1,0.15004820827442422
1.23,0.1,0.1456797996674491
1.24,0.1,0.14136614946351983
1.25,0.1,0.1371121197921422
1.26,0.1,0.13292228701373854
1.27,0.1,0.12880092474005264
1.28,0.1,0.12475198874079066
1.29,0.1,0.1207791039385394
1.3,0.1,0.1168855536746664
1.31,0.1,0.1130742714047121
1.32,0.1,0.10934783495302366
1.33,0.1,0.10570846342334494
1.34,0.1,0.10215801682526775
1.35,0.1,0.09869799843657338
1.36,0.1,0.09532955987946692
1.37,0.1,0.0920535088454504
1.3800000000000001,0.1,0.08887031936035023
1.3900000000000001,0.1,0.08578014443894863
1.4000000000000001,0.1,0.08278283093901943
1.41,0.1,0.07987793638858881
1.42,0.1,0.07706474752901514
1.43,0.1,0.07434230029106062
1.44,0.1,0.07170940090225306
1.45,0.1,0.0691646478121405
1.46,0.1,0.06670645411778975
1.47,0.1,0.0643330701751912
1.48,0.1,0.062042606092772144
1.49,0.1,0.0598330538205709
1.5,0.1,0.05770230857197359
1.51,0.1,0.05564818934339603
1.52,0.1,0.05366845832972009
1.53,0.1,0.051760839068562804
1.54,0.1,0.04992303318321951
1.55,0.1,0.048152735631285255
1.56,0.1,0.04644764840223881
1.57,0.1,0.04480549264172143
1.58,0.1,0.04322401921193387
1.59,0.1,0.041701017725787264
1.6,0.1,0.04023432411670531
