fn,rho0,rhocr,ap,nu1,gamma,kp,zetap,zetap2,zetarho,ar,xi,M,kd,Ndefects,epsi,Rad,g2,g3,g4,g5,g6,theta2,theta3,theta4,theta5,theta6
1,0.4,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,10.0,258.0,0.0010520585403455684,5.328230549023293,0.31654118962338795,0.5052485512838638,0.5281391385808994,0.28140158477035093,0.4410847776814988,0.006710784171258787,0.030498809406105245,-0.023966002894474182,-0.02585083670034354,-0.03997221589090184
2,0.5,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,10.0,258.0,0.0015953116919918964,5.935022559354471,0.28957836442021717,0.48818231755050745,0.5831742129517062,0.274577917229264,0.45823829340503264,-0.060038393769945284,-0.03704659328466492,-0.053910714474403335,-0.019594137467121114,-0.00010101902795813215
3,0.6,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,10.0,260.0,0.0023090308831924533,6.437396720048903,0.29891525177177847,0.4054115724211713,0.6455281839940475,0.24672335233475484,0.41550391876994064,0.14947005861534954,-0.037485197216115804,-0.11388281426579999,-0.015600748255320587,0.03393570896141642
4,0.7,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,10.0,292.0,0.0032005283429207276,6.647650200310671,0.3203122875120886,0.48611312733132633,0.6077198428238744,0.24204349045347945,0.4673647932368474,0.19964363201112562,0.0643021609564139,-0.21155013092657962,-0.019305987659356677,-0.007076621857485578
5,0.8,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,10.0,268.0,0.004281464288656833,6.992172092838297,0.31171900227768345,0.4466707528784799,0.6456212409123727,0.2488108079990107,0.5064549531767483,-0.18630473068865377,-0.04026496128456807,0.1750415834451932,-0.01562206069740743,-0.03019152101083248
6,0.9,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,10.0,274.0,0.005509750651369494,7.121976518955176,0.3378828512916562,0.5175395461551875,0.5532861222007446,0.28763854491203444,0.4743931213494743,0.09401255661392754,0.01928328852323882,-0.13302001230476262,0.003241416384093769,-0.016235713588717553
7,1.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,10.0,258.0,0.006862389974127803,7.286196123854282,0.29936740804505096,0.3957090375628507,0.7028682543040193,0.21603758984817611,0.45443079924714314,0.16405227731990055,0.01746884666236163,0.35176371850210747,-0.011162152789667099,-0.07047017530180774
8,1.1,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,10.0,242.0,0.008273481621290824,7.384469412689233,0.3502943590992832,0.7255802085537184,0.35091468970373507,0.3594535531850258,0.5628043876093207,0.07380065797704954,-0.21373841243078884,-0.11039739523297912,0.00673916164917249,0.044325632871656355
9,1.2,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,10.0,242.0,0.009656748110943525,7.478461169888564,0.3720755634560303,0.6846012286775882,0.394501811097831,0.3716000404920694,0.595527407773469,-0.0006877456011592022,0.07866850049199602,0.10696977603711726,0.01938152549689358,0.019341070115656202
10,1.3,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,10.0,208.0,0.010981259793252818,7.530955691713378,0.37577410736328337,0.7976898074038637,0.2754410472261911,0.4089957462930868,0.6997476770601302,0.05608444650305932,-0.2351924209218832,0.02323967146903438,0.008988860334347547,0.06431703091239324
