fn,L,rho0,kd,ap,nu1,gamma,kp,zetatot,zetap,zetap2,zetarho,M,seed,dx,dtmax,Ndefects,epsi,Rad,g2,g3,g4,g5,g6,theta2,theta3,theta4,theta5,theta6
1,10.0,0.4,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,0.34062094982413516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,10.0,0.5,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,0.43386928430444166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,10.0,0.6,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,0.48135903479896225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,10.0,0.7,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,0.5566526901651995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,10.0,0.8,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,0.6352006907010725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,10.0,0.9,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,1.726729870199506e-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,10.0,1.0,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,1.3322676295501878e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,10.0,1.1,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,-6.661338147750939e-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,10.0,1.2,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,1.7763568394002505e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,10.0,1.3,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,-1.9984014443252818e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,10.0,1.4,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,3.1086244689504383e-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,10.0,1.5,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,6.661338147750939e-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,10.0,0.4,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,0.104241010602871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,10.0,0.5,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,0.1885730611461477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,10.0,0.6,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,0.2507572942805512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,10.0,0.7,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,0.3210625757340364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,10.0,0.8,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,0.39530383159968024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,10.0,0.9,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,6.0,0.05437301593090327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,10.0,1.0,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01,0.0,3.108624468950438e-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
