rho0,kd,tauc,pNseg,pmean,pstd,pArea,rNseg,rmean,rstd,rArea,ndefects
0.4,0.01,1.4049710583078228,0,0.0,0.0,0.0,23,5.2391047,5.550257,115.2603,0
0.4,0.1,6.343130395056356,0,0.0,0.0,0.0,112,1.156463,0.86281675,128.3674,0
0.4,0.2,6.37489178058044,0,0.0,0.0,0.0,508,0.1825854,0.16666472,92.5708,203
0.4,0.4,541.5369693248523,0,0.0,0.0,0.0,547,0.025467217,0.0018571375,13.9051,280
0.4,0.6,123.55864514201342,0,0.0,0.0,0.0,532,0.019544821,0.0017632267,10.3783,268
0.4,0.8,97.65219001203567,0,0.0,0.0,0.0,535,0.017416667,0.001083651,9.3005,274
0.4,1.0,261.8170937614757,0,0.0,0.0,0.0,548,0.016196527,0.0007048282,8.8595,282
0.4,2.0,173.7608426890796,0,0.0,0.0,0.0,569,0.014060035,0.00074165885,7.9861,290
0.4,5.0,140.09295064895915,0,0.0,0.0,0.0,556,0.013122162,0.0007507125,7.2828,282
0.4,10.0,118.71225982364443,0,0.0,0.0,0.0,504,0.01318171,0.00068822154,6.6304,258
0.5,0.01,0.07772667211360218,0,0.0,0.0,0.0,48,2.1932766,1.4907174,103.084,0
0.5,0.1,5.644012045412997,0,0.0,0.0,0.0,84,1.3753891,1.9624897,114.1573,0
0.5,0.2,1.241557608084257,0,0.0,0.0,0.0,165,0.66255367,0.91591024,108.6588,8
0.5,0.4,456.2370709126096,0,0.0,0.0,0.0,601,0.040527668,0.0053650076,24.3166,300
0.5,0.6,80.0482022349682,0,0.0,0.0,0.0,587,0.025611091,0.0024353163,15.0081,295
0.5,0.8,130.43723982185804,0,0.0,0.0,0.0,568,0.021741623,0.0020799725,12.3275,288
0.5,1.0,135.49387992374068,0,0.0,0.0,0.0,587,0.01962645,0.0015553602,11.5011,300
0.5,2.0,82.49497181070014,0,0.0,0.0,0.0,581,0.016603447,0.0011659631,9.63,296
0.5,5.0,118.08692369524742,0,0.0,0.0,0.0,507,0.015689723,0.0011805239,7.939,256
0.5,10.0,126.45302050585562,0,0.0,0.0,0.0,550,0.014794171,0.0011220756,8.122,278
0.6,0.01,0.01859531611256182,0,0.0,0.0,0.0,51,1.737808,1.3267825,86.8904,0
0.6,0.1,0.08002506457316098,0,0.0,0.0,0.0,86,1.1523106,1.2527157,97.9464,0
0.6,0.2,0.0753065523994925,0,0.0,0.0,0.0,114,0.8623363,1.0307258,97.444,0
0.6,0.4,362.73259884965853,0,0.0,0.0,0.0,603,0.05239917,0.005999946,31.5443,302
0.6,0.6,128.25663020550908,0,0.0,0.0,0.0,563,0.030469216,0.0033089782,17.1237,280
0.6,0.8,253.2645989350562,0,0.0,0.0,0.0,563,0.025045019,0.0021700156,14.0753,286
0.6,1.0,215.32702469248858,0,0.0,0.0,0.0,513,0.023314454,0.0023306825,11.937,260
0.6,2.0,48.06597911215029,0,0.0,0.0,0.0,514,0.019154387,0.0014029772,9.8262,262
0.6,5.0,143.5668345387977,0,0.0,0.0,0.0,599,0.016317224,0.0008513981,9.7577,304
0.6,10.0,141.44460636847046,0,0.0,0.0,0.0,549,0.01611478,0.0011529552,8.8309,280
0.7,0.01,0.08539819620278183,0,0.0,0.0,0.0,48,1.5798192,0.906678,74.2515,0
0.7,0.1,0.029539315552868595,0,0.0,0.0,0.0,88,0.88245285,0.7388909,76.7734,0
0.7,0.2,12.03615187721799,0,0.0,0.0,0.0,48,1.6001,0.7373033,75.2047,27
0.7,0.4,161.87756863404206,0,0.0,0.0,0.0,554,0.037077397,0.005046402,20.5038,276
0.7,0.6,53.89067390697641,0,0.0,0.0,0.0,548,0.028436746,0.0025386577,15.5549,276
0.7,0.8,85.6136629454896,0,0.0,0.0,0.0,557,0.024805576,0.0028308,13.7919,278
0.7,1.0,137.5823626923003,0,0.0,0.0,0.0,551,0.023105273,0.0020109059,12.7079,280
0.7,2.0,119.1508659256487,0,0.0,0.0,0.0,576,0.019432347,0.0011045664,11.1736,290
0.7,5.0,171.25806765502696,0,0.0,0.0,0.0,533,0.017861655,0.0009769064,9.5024,272
0.7,10.0,138.52435759148494,0,0.0,0.0,0.0,543,0.016978044,0.0012914683,9.2021,274
0.8,0.01,0.07111440995983741,0,0.0,0.0,0.0,28,1.7714815,0.9924639,47.83,0
0.8,0.1,0.8834086413919886,0,0.0,0.0,0.0,47,0.9258174,0.68905824,42.5876,0
0.8,0.2,158.71026050674695,0,0.0,0.0,0.0,445,0.029702703,0.0025231375,13.188,224
0.8,0.4,263.1371977985272,0,0.0,0.0,0.0,467,0.026227897,0.003139508,12.2222,236
0.8,0.6,102.41469337897291,0,0.0,0.0,0.0,465,0.024748491,0.0019224709,11.4833,236
0.8,0.8,69.50489426986032,0,0.0,0.0,0.0,542,0.02239427,0.0016343377,12.1153,274
0.8,1.0,57.81186495456955,0,0.0,0.0,0.0,503,0.022160957,0.0017901453,11.1248,254
0.8,2.0,63.44868017947875,0,0.0,0.0,0.0,495,0.020178745,0.0018530535,9.9683,250
0.8,5.0,169.79335685567082,0,0.0,0.0,0.0,528,0.018214991,0.0015547863,9.5993,266
0.8,10.0,91.81935701652978,0,0.0,0.0,0.0,477,0.018187605,0.0012463816,8.6573,242
0.9,0.01,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
0.9,0.1,64.9127015903775,0,0.0,0.0,0.0,13,0.030941667,0.0021593173,0.3713,6
0.9,0.2,30.566325531085788,0,0.0,0.0,0.0,32,0.03041613,0.001986806,0.9429,14
0.9,0.4,162.77114839801393,0,0.0,0.0,0.0,132,0.02710687,0.0015422856,3.551,68
0.9,0.6,40.672655283748924,0,0.0,0.0,0.0,252,0.024204781,0.001759448,6.0754,126
0.9,0.8,30.055697286787275,0,0.0,0.0,0.0,313,0.02286346,0.001989493,7.1334,158
0.9,1.0,26.830121785031352,0,0.0,0.0,0.0,398,0.021458186,0.0009984153,8.5189,202
0.9,2.0,62.632542703371364,0,0.0,0.0,0.0,430,0.020229371,0.0013712075,8.6784,220
0.9,5.0,139.57440958874477,0,0.0,0.0,0.0,467,0.01891545,0.0012742856,8.8146,238
0.9,10.0,60.53096921724356,0,0.0,0.0,0.0,488,0.018194456,0.001472362,8.8607,250
1.0,0.01,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.0,0.1,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.0,0.2,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.0,0.4,29.595417991114985,0,0.0,0.0,0.0,17,0.02681875,0.00011672617,0.4291,8
1.0,0.6,54.1748954183818,0,0.0,0.0,0.0,55,0.025105556,0.0028872143,1.3557,30
1.0,0.8,81.30155265424912,0,0.0,0.0,0.0,92,0.024618682,0.0015194964,2.2403,46
1.0,1.0,58.60759303554814,0,0.0,0.0,0.0,138,0.023637226,0.0013629018,3.2383,70
1.0,2.0,82.77319295659252,0,0.0,0.0,0.0,332,0.020196676,0.002125492,6.6851,166
1.0,5.0,542.8455073034388,0,0.0,0.0,0.0,447,0.018866368,0.00093558314,8.4144,228
1.0,10.0,123.58257483777221,0,0.0,0.0,0.0,470,0.018476972,0.0009093664,8.6657,240
1.1,0.01,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.1,0.1,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.1,0.2,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.1,0.4,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.1,0.6,33.199322079880844,0,0.0,0.0,0.0,17,0.0248875,0.0001627882,0.3982,8
1.1,0.8,37.31373860353158,0,0.0,0.0,0.0,17,0.0248875,0.00018929694,0.3982,8
1.1,1.0,106.428352959436,0,0.0,0.0,0.0,31,0.02456,0.00017733662,0.7368,16
1.1,2.0,78.29295332065249,0,0.0,0.0,0.0,148,0.022262584,0.0010279126,3.2726,76
1.1,5.0,328.72135516592425,0,0.0,0.0,0.0,402,0.01879202,0.0008882489,7.5356,202
1.1,10.0,2002.878725564231,0,0.0,0.0,0.0,448,0.018478077,0.000872095,8.2597,228
1.2,0.01,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.2,0.1,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.2,0.2,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.2,0.4,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.2,0.6,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.2,0.8,28.20145627743511,0,0.0,0.0,0.0,7,0.021733332,0.005162041,0.1304,4
1.2,1.0,9.831750999622031,0,0.0,0.0,0.0,7,0.023983333,0.00014719601,0.1439,4
1.2,2.0,22.80399118208565,0,0.0,0.0,0.0,56,0.02256,0.002471362,1.2408,26
1.2,5.0,17.342772125121694,0,0.0,0.0,0.0,255,0.019903542,0.0017089011,5.0555,130
1.2,10.0,61.65272440845676,0,0.0,0.0,0.0,425,0.01827618,0.0012061794,7.7491,216
1.3,0.01,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.3,0.1,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.3,0.2,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.3,0.4,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
1.3,0.6,1.2706642714093683e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
