rho0,kd,tauc,pNseg,pmean,pstd,pArea,rNseg,rmean,rstd,rArea,ndefects
0.4,0.01,1.2164574546334226,0,0.0,0.0,0.0,23,5.2391047,5.550257,115.2603,0
0.4,0.1,17.30171298761131,0,0.0,0.0,0.0,112,1.156463,0.86281675,128.3674,0
0.4,0.2,5.393735383001799,0,0.0,0.0,0.0,508,0.1825854,0.16666472,92.5708,203
0.4,0.4,400.03276272127965,0,0.0,0.0,0.0,547,0.025467217,0.0018571375,13.9051,280
0.4,0.6,117.49654425791806,0,0.0,0.0,0.0,532,0.019544821,0.0017632267,10.3783,268
0.4,0.8,90.19454189324827,0,0.0,0.0,0.0,535,0.017416667,0.001083651,9.3005,274
0.4,1.0,229.8622568263436,0,0.0,0.0,0.0,548,0.016196527,0.0007048282,8.8595,282
0.4,2.0,173.7608426890796,0,0.0,0.0,0.0,569,0.014060035,0.00074165885,7.9861,290
0.4,5.0,129.3901791546896,0,0.0,0.0,0.0,556,0.013122162,0.0007507125,7.2828,282
0.4,10.0,106.75066563493904,0,0.0,0.0,0.0,504,0.01318171,0.00068822154,6.6304,258
0.5,0.01,0.07930838043198346,0,0.0,0.0,0.0,48,2.1932766,1.4907174,103.084,0
0.5,0.1,0.06759902148037152,0,0.0,0.0,0.0,84,1.3753891,1.9624897,114.1573,0
0.5,0.2,0.7465665823436248,0,0.0,0.0,0.0,165,0.66255367,0.91591024,108.6588,8
0.5,0.4,280.6305413978454,0,0.0,0.0,0.0,601,0.040527668,0.0053650076,24.3166,300
0.5,0.6,69.27503551446036,0,0.0,0.0,0.0,587,0.025611091,0.0024353163,15.0081,295
0.5,0.8,119.31719834445244,0,0.0,0.0,0.0,568,0.021741623,0.0020799725,12.3275,288
0.5,1.0,134.80985506165064,0,0.0,0.0,0.0,587,0.01962645,0.0015553602,11.5011,300
0.5,2.0,80.67154485687321,0,0.0,0.0,0.0,581,0.016603447,0.0011659631,9.63,296
0.5,5.0,112.5368302504807,0,0.0,0.0,0.0,507,0.015689723,0.0011805239,7.939,256
0.5,10.0,125.8813604232974,0,0.0,0.0,0.0,550,0.014794171,0.0011220756,8.122,278
0.6,0.01,4.676033849410876,0,0.0,0.0,0.0,51,1.737808,1.3267825,86.8904,0
0.6,0.1,0.07955596934597288,0,0.0,0.0,0.0,86,1.1523106,1.2527157,97.9464,0
0.6,0.2,0.07391505035711136,0,0.0,0.0,0.0,114,0.8623363,1.0307258,97.444,0
0.6,0.4,109.34625279112784,0,0.0,0.0,0.0,603,0.05239917,0.005999946,31.5443,302
0.6,0.6,94.44738175966542,0,0.0,0.0,0.0,563,0.030469216,0.0033089782,17.1237,280
0.6,0.8,166.5826982426248,0,0.0,0.0,0.0,563,0.025045019,0.0021700156,14.0753,286
0.6,1.0,163.17863809808125,0,0.0,0.0,0.0,513,0.023314454,0.0023306825,11.937,260
0.6,2.0,41.79643436789275,0,0.0,0.0,0.0,514,0.019154387,0.0014029772,9.8262,262
0.6,5.0,104.6757247232213,0,0.0,0.0,0.0,599,0.016317224,0.0008513981,9.7577,304
0.6,10.0,141.44460636847046,0,0.0,0.0,0.0,549,0.01611478,0.0011529552,8.8309,280
0.7,0.01,0.08227047772325531,0,0.0,0.0,0.0,48,1.5798192,0.906678,74.2515,0
0.7,0.1,43.451352255749484,0,0.0,0.0,0.0,88,0.88245285,0.7388909,76.7734,0
0.7,0.2,7.368437591229517,0,0.0,0.0,0.0,48,1.6001,0.7373033,75.2047,27
0.7,0.4,161.87756863404206,0,0.0,0.0,0.0,554,0.037077397,0.005046402,20.5038,276
0.7,0.6,47.51040779022342,0,0.0,0.0,0.0,548,0.028436746,0.0025386577,15.5549,276
0.7,0.8,69.04094102317437,0,0.0,0.0,0.0,557,0.024805576,0.0028308,13.7919,278
0.7,1.0,108.43348737534372,0,0.0,0.0,0.0,551,0.023105273,0.0020109059,12.7079,280
0.7,2.0,99.49810930846027,0,0.0,0.0,0.0,576,0.019432347,0.0011045664,11.1736,290
0.7,5.0,112.15957532839502,0,0.0,0.0,0.0,533,0.017861655,0.0009769064,9.5024,272
0.7,10.0,115.11699857281415,0,0.0,0.0,0.0,543,0.016978044,0.0012914683,9.2021,274
0.8,0.01,0.07004537490055113,0,0.0,0.0,0.0,28,1.7714815,0.9924639,47.83,0
0.8,0.1,1.2240895556717906,0,0.0,0.0,0.0,47,0.9258174,0.68905824,42.5876,0
0.8,0.2,151.04932044661203,0,0.0,0.0,0.0,445,0.029702703,0.0025231375,13.188,224
0.8,0.4,158.88175639863496,0,0.0,0.0,0.0,467,0.026227897,0.003139508,12.2222,236
0.8,0.6,64.16810677292503,0,0.0,0.0,0.0,465,0.024748491,0.0019224709,11.4833,236
0.8,0.8,44.34535887086772,0,0.0,0.0,0.0,542,0.02239427,0.0016343377,12.1153,274
0.8,1.0,39.25287034547645,0,0.0,0.0,0.0,503,0.022160957,0.0017901453,11.1248,254
0.8,2.0,50.19068522387201,0,0.0,0.0,0.0,495,0.020178745,0.0018530535,9.9683,250
0.8,5.0,76.09138003056341,0,0.0,0.0,0.0,528,0.018214991,0.0015547863,9.5993,266
0.8,10.0,60.78782564498222,0,0.0,0.0,0.0,477,0.018187605,0.0012463816,8.6573,242
0.9,0.01,1.07219781889604e7,0,0.0,0.0,0.0,1,NaN,NaN,0.0,0
