fn,L,rho0,kd,ap,nu1,gamma,kp,zetatot,zetap,zetap2,zetarho,M,seed,dx,dtmax
1,10.0,0.4,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
2,10.0,0.5,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
3,10.0,0.6,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
4,10.0,0.7,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
5,10.0,0.8,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
6,10.0,0.9,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
7,10.0,1.0,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
8,10.0,1.1,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
9,10.0,1.2,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
10,10.0,1.3,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
11,10.0,1.4,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
12,10.0,1.5,0.01,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
13,10.0,0.4,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
14,10.0,0.5,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
15,10.0,0.6,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
16,10.0,0.7,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
17,10.0,0.8,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
18,10.0,0.9,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
19,10.0,1.0,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
20,10.0,1.1,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
21,10.0,1.2,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
22,10.0,1.3,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
23,10.0,1.4,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
24,10.0,1.5,0.1,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
25,10.0,0.4,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
26,10.0,0.5,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
27,10.0,0.6,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
28,10.0,0.7,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
29,10.0,0.8,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
30,10.0,0.9,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
31,10.0,1.0,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
32,10.0,1.1,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
33,10.0,1.2,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
34,10.0,1.3,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
35,10.0,1.4,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
36,10.0,1.5,0.2,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
37,10.0,0.4,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
38,10.0,0.5,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
39,10.0,0.6,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
40,10.0,0.7,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
41,10.0,0.8,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
42,10.0,0.9,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
43,10.0,1.0,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
44,10.0,1.1,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
45,10.0,1.2,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
46,10.0,1.3,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
47,10.0,1.4,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
48,10.0,1.5,0.4,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
49,10.0,1.0,0.6,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
50,10.0,1.1,0.6,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
51,10.0,1.2,0.6,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
52,10.0,1.3,0.6,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
53,10.0,1.4,0.6,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
54,10.0,1.5,0.6,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
55,10.0,1.0,0.8,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
56,10.0,1.1,0.8,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
57,10.0,1.2,0.8,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
58,10.0,1.3,0.8,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
59,10.0,1.4,0.8,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
60,10.0,1.5,0.8,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
61,10.0,1.0,1.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
62,10.0,1.1,1.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
63,10.0,1.2,1.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
64,10.0,1.3,1.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
65,10.0,1.4,1.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
66,10.0,1.5,1.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
67,10.0,1.0,2.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
68,10.0,1.1,2.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
69,10.0,1.2,2.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
70,10.0,1.3,2.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
71,10.0,1.4,2.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
72,10.0,1.5,2.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
73,10.0,1.0,5.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
74,10.0,1.1,5.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
75,10.0,1.2,5.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
76,10.0,1.3,5.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
77,10.0,1.4,5.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
78,10.0,1.5,5.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
79,10.0,1.0,10.0,0.1,0.0,1.0,0.0001,4.0,0.0,0.0,1.0,0.0001,1.0,0.01,0.01
