x,y,q,w,a,s
10.0,1.0,1.3098172201182386e-7,1.0,0.0,1.0
9.0,1.0,5.913532077242193e-7,0.15545527167053563,0.0,0.15545527167053563
8.0,1.0,5.943142373801871e-7,0.03002828790177457,0.667763157894737,0.03002828790177457
7.0,1.0,5.048605404061827e-5,0.0003346038814951567,0.9210526315789473,0.0003346038814951567
6.0,1.0,1.1519044477429348e-5,0.000317683789182188,0.8815789473684211,0.000317683789182188
5.0,1.0,9.103854439113923e-6,0.00019524339415687755,0.9013157894736841,0.00019524339415687755
4.0,1.0,2.440851260972789e-5,0.00012699018859156226,0.9276315789473684,0.00012699018859156226
3.0,1.0,1.6199262083770822e-5,0.0001336260349130533,0.9539473684210525,0.0001336260349130533
2.0,1.0,1.3060493886485317e-5,0.0001352572559080862,0.9276315789473684,0.0001352572559080862
1.0,1.0,1.1067228839819457e-5,0.0001239981339071197,0.8486842105263158,0.0001239981339071197
10.0,2.0,7.246251301396887e-9,0.2685852803275396,0.0,0.2685852803275396
9.0,2.0,5.261762599252785e-7,0.35358538274609674,0.0,0.35358538274609674
8.0,2.0,1.1574711985855547e-7,0.16502122758553023,0.02631578947368421,0.16502122758553023
7.0,2.0,4.2533770955921954e-5,0.0009666232620768126,0.9868421052631579,0.0009666232620768126
6.0,2.0,7.46268139168293e-6,0.0004387754102362916,0.9703947368421053,0.0004387754102362916
5.0,2.0,1.2160317598935899e-5,0.00037475246446795537,0.9473684210526315,0.00037475246446795537
4.0,2.0,1.2631734731852753e-5,0.00028023209847955074,0.9868421052631579,0.00028023209847955074
3.0,2.0,7.69078722382833e-6,0.00021007371043385619,0.9736842105263158,0.00021007371043385619
2.0,2.0,1.100893041263883e-5,0.00021269716203677956,0.8421052631578947,0.00021269716203677956
1.0,2.0,1.1788879408948334e-5,0.0002021664109592119,0.9144736842105264,0.0002021664109592119
10.0,3.0,1.7335919564856422e-9,0.23904883358391094,0.0,0.23904883358391094
9.0,3.0,7.460524328895825e-9,0.22570407993240912,0.0,0.22570407993240912
8.0,3.0,7.020629965103568e-9,0.1857077546830142,0.0,0.1857077546830142
7.0,3.0,3.3816597250320634e-5,0.0010810212507894126,0.993421052631579,0.0010810212507894126
6.0,3.0,1.1957025153233182e-5,0.0005961846493266929,0.9210526315789473,0.0005961846493266929
5.0,3.0,2.361118622123213e-5,0.00039097570297376747,0.9407894736842106,0.00039097570297376747
4.0,3.0,2.0074366886869583e-5,0.0004199233178290024,0.8552631578947368,0.0004199233178290024
3.0,3.0,4.481063632639205e-6,0.0002527769726698726,0.861842105263158,0.0002527769726698726
2.0,3.0,1.3384354859470924e-5,0.00015339795599957214,1.0,0.00015339795599957214
1.0,3.0,1.318650516099652e-5,0.0002077300614617312,0.9210526315789473,0.0002077300614617312
10.0,4.0,7.961447126758712e-9,0.16335784560403774,0.0,0.16335784560403774
9.0,4.0,2.7538719714450337e-9,0.13312733104571559,0.0,0.13312733104571559
8.0,4.0,1.1220984873330046e-6,0.13284129395890368,0.08881578947368421,0.13284129395890368
7.0,4.0,1.509141598995739e-5,0.0009092194995964077,0.9078947368421053,0.0009092194995964077
6.0,4.0,5.024084465636662e-6,0.00045739460957253423,0.9078947368421053,0.00045739460957253423
5.0,4.0,7.981534519185238e-6,0.0005100304175328815,0.9144736842105264,0.0005100304175328815
4.0,4.0,1.282643843610374e-5,0.00036230860861553724,0.9210526315789473,0.00036230860861553724
3.0,4.0,1.1108118922348707e-5,0.00019901174153371412,0.9539473684210525,0.00019901174153371412
2.0,4.0,1.596593501142298e-5,0.00017601101042226164,0.894736842105263,0.00017601101042226164
1.0,4.0,1.2914258119855919e-5,0.0002326862169708316,0.9013157894736841,0.0002326862169708316
10.0,5.0,6.6298076542680604e-9,0.17881403378367475,0.0,0.17881403378367475
9.0,5.0,8.235784246617329e-8,0.12414889294055721,0.0,0.12414889294055721
8.0,5.0,1.4796136261451934e-5,0.00045459831390028555,0.7368421052631579,0.00045459831390028555
7.0,5.0,2.4531582404643114e-5,0.0005656509121965806,0.7763157894736843,0.0005656509121965806
6.0,5.0,9.547849985071907e-6,0.0003463750932440694,0.7763157894736843,0.0003463750932440694
5.0,5.0,6.4797567792470755e-6,0.00029446161974446125,0.9013157894736841,0.00029446161974446125
4.0,5.0,5.3896466974805645e-6,0.0003225337642490666,0.8355263157894737,0.0003225337642490666
3.0,5.0,5.915152016935558e-6,0.0003338680314937242,0.8223684210526315,0.0003338680314937242
2.0,5.0,1.5829383911943357e-5,0.0002801286974819741,0.875,0.0002801286974819741
1.0,5.0,8.560074903271442e-6,0.00022456285889375124,0.7960526315789473,0.00022456285889375124
10.0,6.0,0.9995815630926368,0.0,0.0,0.0
9.0,6.0,6.051638846559406e-6,0.00038904817128998927,0.019736842105263157,0.00038904817128998927
8.0,6.0,2.849617385327247e-6,0.0003579664703867989,0.046052631578947366,0.0003579664703867989
7.0,6.0,1.517472205918057e-5,0.00027787641773361846,0.22368421052631576,0.00027787641773361846
6.0,6.0,3.7918036790559543e-6,0.00031700296216763814,0.4144736842105263,0.00031700296216763814
5.0,6.0,2.802012869667936e-6,0.0003584505787623019,0.5197368421052632,0.0003584505787623019
4.0,6.0,2.501301028522965e-6,0.00017988631167185028,0.6644736842105263,0.00017988631167185028
3.0,6.0,5.8390656866251814e-6,0.00024705297728941307,0.7236842105263158,0.00024705297728941307
