r,rho
0.005,0.8151234151909995
0.015,0.8151668937112456
0.025,0.8152538895885498
0.035,0.8153843797494289
0.045,0.8155583560444251
0.055,0.8157758296737482
0.065,0.8160368314199221
0.075,0.816341410956853
0.085,0.8166896359368184
0.095,0.8170815910866976
0.105,0.8175173773844456
0.115,0.8179971113279849
0.125,0.8185209242872931
0.135,0.8190889619237144
0.145,0.8197013836593539
0.155,0.8203583621809715
0.165,0.8210600829646078
0.17500000000000002,0.8218067438090557
0.185,0.8225985543682115
0.195,0.8234357356736198
0.20500000000000002,0.8243185196396506
0.215,0.8252471485447301
0.225,0.8262218744825703
0.23500000000000001,0.8272429587778856
0.245,0.8283106713612532
0.255,0.8294252900982244
0.265,0.8305871000674491
0.275,0.8317963927830543
0.28500000000000003,0.8330534653560906
0.295,0.8343586195901262
0.305,0.8357121610054296
0.315,0.8371143977865707
0.325,0.8385656396476044
0.335,0.8400661966091444
0.34500000000000003,0.8416163776811493
0.355,0.8432164894450912
0.365,0.8448668345289605
0.375,0.8465677099683412
0.385,0.8483194054463663
0.395,0.850122201405298
0.405,0.8519763670221443
0.41500000000000004,0.8538821580406032
0.425,0.8558398144511558
0.435,0.8578495580112531
0.445,0.8599115895972494
0.455,0.8620260863795336
0.465,0.864193198812211
0.47500000000000003,0.8664130474288424
0.485,0.8686857194356908
0.495,0.871011265093765
0.505,0.8733896938814121
0.515,0.8758209704294853
0.525,0.878305010221185
0.535,0.8808416750495017
0.545,0.8834307682256326
0.555,0.8860720295325769
0.5650000000000001,0.8887651299194079
0.5750000000000001,0.8915096659323605
0.585,0.8943051538810025
0.595,0.8971510237391149
0.605,0.9000466127823193
0.615,0.90299115896679
0.625,0.9059837940562403
0.635,0.9090235365082039
0.645,0.9121092841340642
0.655,0.9152398065521004
0.665,0.9184137374580013
0.675,0.9216295667432112
0.685,0.9248856324980146
0.6950000000000001,0.9281801129439466
0.705,0.9315110183483551
0.715,0.9348761829834074
0.725,0.9382732572016292
0.735,0.9416996997115477
0.745,0.9451527701485677
0.755,0.9486295220487441
0.765,0.9521267963464669
0.775,0.9556412155304842
0.785,0.9591691786060244
0.795,0.9627068570245931
0.805,0.9662501917550037
0.8150000000000001,0.9697948916807997
0.8250000000000001,0.9733364335187454
0.835,0.9768700634605475
0.845,0.9803908007434256
0.855,0.983893443355139
0.865,0.9873725760756
0.875,0.9908225810466161
0.885,0.9942376510463999
0.895,0.9976118056239645
0.905,1.0009389102203474
0.915,1.0042126983689033
0.925,1.0074267970267528
0.935,1.0105747550424977
0.9450000000000001,1.0136500747140325
0.9550000000000001,1.016646246334554
0.965,1.0195567855675511
0.975,1.0223752734323437
0.985,1.0250953986217117
0.995,1.027711001817482
1.0050000000000001,1.0302161216164443
1.0150000000000001,1.0326050416295562
1.025,1.0348723382743719
1.035,1.0370129287439074
1.045,1.039022118606178
1.055,1.0408956484645406
1.065,1.0426297390938106
1.075,1.0442211344558467
1.085,1.0456671419958836
1.095,1.0469656696204097
1.105,1.0481152587637994
1.115,1.0491151129620253
1.125,1.0499651213668257
1.135,1.050665876655687
1.145,1.0512186868229552
1.155,1.0516255803734016
1.165,1.0518893044877664
1.175,1.0520133157922047
1.185,1.0520017634394037
1.195,1.051859464301025
1.205,1.0515918701833493
1.215,1.051205027108371
1.225,1.0507055268484404
1.235,1.0501004510685672
1.245,1.0493973086047668
1.2550000000000001,1.0486039665903213
1.2650000000000001,1.0477285763272464
1.2750000000000001,1.0467794949769398
1.285,1.045765204303938
1.295,1.044694227845462
1.305,1.0435750479821193
1.315,1.0424160244476246
1.325,1.0412253158282403
1.335,1.0400108055680921
1.345,1.0387800339038447
1.355,1.037540137009348
1.365,1.0362977944421894
1.375,1.035059185752142
1.385,1.0338299568497666
1.395,1.0326151964534878
1.405,1.031419422646338
1.415,1.0302465792908655
1.425,1.0291000417894773
1.435,1.0279826314437122
1.445,1.0268966374715889
1.455,1.0258438455930297
1.465,1.0248255719918653
1.475,1.0238427014117224
1.485,1.0228957281410358
1.495,1.0219847986833392
1.5050000000000001,1.021109754987428
1.5150000000000001,1.0202701772223708
1.5250000000000001,1.0194654252166733
1.5350000000000001,1.0186946778259987
1.545,1.0179569696505038
1.555,1.01725122467517
1.565,1.0165762865535124
1.575,1.015930945390052
1.585,1.015313960996494
1.595,1.0147240826976167
1.605,1.0141600658448693
1.615,1.0136206852579048
1.625,1.0131047458604618
1.635,1.0126110908035968
1.645,1.012138607381978
1.655,1.011686231050139
1.665,1.0112529478344996
1.675,1.0108377954216883
1.685,1.010439863179245
1.695,1.0100582913379268
1.705,1.0096922695385409
1.715,1.009341034918103
1.725,1.0090038698810468
1.735,1.0086800996762528
1.745,1.0083690898771862
1.7550000000000001,1.0080702438425169
1.7650000000000001,1.0077830002147132
1.7750000000000001,1.0075068304985235
1.7850000000000001,1.0072412367502348
1.795,1.006985749396928
1.805,1.006739925195003
1.815,1.0065033453336962
1.825,1.0062756136819353
1.835,1.0060563551757085
1.845,1.0058452143375685
1.855,1.005641853921515
1.865,1.005445953673851
1.875,1.0052572092001861
1.885,1.0050753309309368
1.895,1.0049000431748614
1.905,1.0047310832517455
1.915,1.0045682006980445
1.925,1.0044111565374199
1.935,1.004259722609674
1.945,1.0041136809523892
1.955,1.0039728232295637
1.965,1.003836950203014
1.975,1.0037058712418103
1.985,1.0035794038671726
1.995,1.0034573733286405
2.005,1.0033396122081626
2.015,1.0032259600507798
2.025,1.0031162630192392
2.035,1.0030103735696927
2.045,1.0029081501478658
2.055,1.0028094569033512
2.065,1.0027141634203613
2.075,1.002622144464839
2.085,1.0025332797455784
2.095,1.002447453688463
2.105,1.0023645552229952
2.115,1.0022844775810595
2.125,1.002207118106327
2.1350000000000002,1.0021323780732205
2.145,1.0020601625152408
2.1550000000000002,1.001990380062035
2.165,1.0019229427852097
2.1750000000000003,1.0018577660515142
2.185,1.0017947683829471
2.195,1.0017338713242947
2.205,1.0016749993168816
2.215,1.0016180795774834
2.225,1.0015630419836752
2.235,1.0015098189646467
2.245,1.0014583453965613
2.255,1.0014085585030983
2.265,1.001360397760035
2.275,1.001313804804177
2.285,1.001268723346664
2.295,1.0012250990897156
2.305,1.0011828796472348
2.315,1.0011420144683099
2.325,1.0011024547644325
2.335,1.0010641534402438
2.345,1.0010270650263493
2.355,1.0009911456149965
2.365,1.0009563527986138
2.375,1.0009226456110045
2.3850000000000002,1.000889984470557
2.395,1.0008583311259833
2.4050000000000002,1.0008276486042802
2.415,1.0007979011602968
2.4250000000000003,1.0007690542290368
2.435,1.0007410743789344
2.445,1.0007139292674647
2.455,1.000687587598699
2.465,1.0006620190816449
2.475,1.0006371943905112
2.485,1.0006130851267512
2.495,1.0005896637821914
2.505,1.000566903703661
2.515,1.0005447790587798
2.525,1.000523264803162
2.535,1.0005023366486578
2.545,1.0004819710323996
2.555,1.0004621450875057
2.565,1.0004428366144562
2.575,1.0004240240536095
2.585,1.0004056864585607
2.595,1.0003878034699685
2.605,1.0003703552903342
2.615,1.00035332265977
2.625,1.0003366868317243
2.6350000000000002,1.000320429548883
2.645,1.0003045330189362
2.6550000000000002,1.0002889798897538
2.665,1.0002737532238837
2.6750000000000003,1.0002588364706786
2.685,1.0002442134352594
2.695,1.0002298682424509
2.705,1.0002157852957647
2.715,1.0002019492279879
2.725,1.000188344840553
2.735,1.000174957029667
2.745,1.0001617706969075
2.755,1.0001487706427454
2.765,1.0001359414427764
2.775,1.0001232673096718
2.785,1.0001107319516958
2.795,1.0000983184482037
2.805,1.0000860091792154
2.815,1.000073785873159
2.825,1.0000616298771536
2.835,1.000049522811612
2.845,1.0000374478578
2.855,1.0000253920464786
2.865,1.0000133500840331
2.875,1.0000013304802844
2.8850000000000002,0.9999893650463115
2.895,0.9999775232235798
2.9050000000000002,0.999965933204866
2.915,0.999954812411971
2.9250000000000003,0.9999445105948818
2.935,0.9999355695733304
2.945,0.9999288043532654
2.955,0.9999254108388229
2.965,0.9999271053119152
2.975,0.9999362997375811
2.985,0.9999563139344773
2.995,0.9999916194258038
