tau,vmax,r_vmax,rdiv,v_rdiv
0.1,0.31129688700346253,0.71,0.9415691010306864,0.26966433522275696
0.2,0.23581113616632823,0.67,0.907444869144714,0.19938624235272523
0.3,0.19237173296596738,0.64,0.8830401214850427,0.1595047038235907
0.4,0.163476944689442,0.62,0.863754941997279,0.1333613465124517
0.5,0.14262253381553305,0.6,0.8477527429287995,0.11473145567917942
0.6,0.12673873829928176,0.58,0.8340220657485483,0.10070995872730988
0.7,0.11415262264327011,0.56,0.8220350448692347,0.08973221916487205
0.8,0.10392169591698314,0.55,0.8113706292220206,0.08088532166835448
0.9,0.09539973586456131,0.54,0.801773440505775,0.07359014746567896
1.0,0.08817893801759027,0.53,0.7930516746085112,0.06746413615055995
1.1,0.08197297474947346,0.52,0.7850569701181492,0.06224341866253977
1.2,0.07657426803062291,0.51,0.777759364901968,0.05772985062650069
1.3,0.07182829722739871,0.5,0.7709875199592496,0.053793937425905713
1.4,0.06761744930212402,0.49,0.7646542638361693,0.05033145100590565
1.5,0.06386012577516222,0.49,0.7588341834190302,0.04725107384038671
1.6,0.06048375700292398,0.48,0.7533430281109815,0.044502040935376054
1.7,0.057423161286122175,0.47000000000000003,0.7482427381021555,0.04202640197575898
1.8,0.054641568444435004,0.47000000000000003,0.7434304917304,0.039789872458422
1.9,0.05210347382009973,0.46,0.7389595867786883,0.03775388681218675
2.0,0.04976560680748365,0.46,0.7346964684723767,0.0358998690266652
2.1,0.04762460053583915,0.45,0.7307895168620103,0.03419387274428994
2.2,0.045634099820101456,0.44,0.7270614017202476,0.032628533119056564
2.3,0.04379971364502514,0.44,0.7235749349574466,0.031183048717180122
2.4,0.04208260361935741,0.44,0.7203504788370467,0.029842161331506394
2.5,0.04049380686423709,0.43,0.7172914685612225,0.028599920546771445
2.6,0.03899995233450163,0.43,0.7144246883077602,0.02744421521019133
2.7,0.037606737456465957,0.42,0.711825556537141,0.02636206036828044
2.8,0.03629697003224883,0.42,0.7093857040235495,0.02535177986967721
2.9,0.03506255972789794,0.41000000000000003,0.7071048755743199,0.024406689239090704
3.0,0.03390674398815228,0.41000000000000003,0.704984220129994,0.02352051099686666
3.1,0.032810763862517196,0.41000000000000003,0.7031214856120336,0.022683554120375878
3.2,0.031777113434436045,0.4,0.7014140625739997,0.02189614860583295
3.3,0.0308022443245107,0.4,0.699862243326806,0.021154175844752376
3.4,0.02987467286723786,0.4,0.6984663103244841,0.020454170763428273
3.5,0.028996094367856558,0.39,0.6972264106600372,0.01979263412482564
3.6,0.02816599406571992,0.39,0.6961424444714058,0.019166649667625057
3.7,0.027374090697087565,0.39,0.6952139674463438,0.018573613647220454
3.8,0.026618232499711125,0.39,0.6944691602898203,0.018010170385557512
3.9,0.025905197753317045,0.38,0.6938810535719576,0.017475201303843134
4.0,0.02522461801885927,0.38,0.6934365907368442,0.016967195085597457
4.1,0.024573812655492227,0.38,0.6931332538232857,0.016484419460722655
4.2,0.023951288909926403,0.38,0.6929680062182073,0.016025301501933726
4.3,0.023362265542052785,0.37,0.6929372886425034,0.015588407983582983
4.4,0.022799268858470962,0.37,0.6930370301084295,0.01517242820492966
4.5,0.022259992723223654,0.37,0.6932626729380195,0.014776158975337239
4.6,0.021743337547873717,0.37,0.6936092103780573,0.01439849151465249
4.7,0.02124826557316588,0.37,0.6940712351115162,0.014038400057164023
4.8,0.020779383487785377,0.36,0.694642996450631,0.013694931980549016
4.9,0.020329658838007924,0.36,0.6953360573981311,0.013366757584415072
5.0,0.019898210112022155,0.36,0.6961514952145863,0.013052903313055142
