coli,colx,coly,colz,colN,colG3,colG4
1,1,1,1,258.0,0.5052485512838638,0.5281391385808994
2,1,1,2,270.0,0.4363988842757534,0.5939416125293351
3,1,1,3,232.0,0.49564186788266135,0.5691361100651954
4,1,1,4,252.0,0.5734584119323487,0.47670422916394173
5,1,1,5,254.0,0.6149548671849907,0.4307491742449506
6,1,1,6,32.0,-1.0,-1.0
7,1,2,1,248.0,0.4970029022128555,0.5505248076922107
8,1,2,2,270.0,0.49079644768653685,0.5410108381261249
9,1,2,3,270.0,0.43679730987547155,0.6016323031336684
10,1,2,4,292.0,0.3724785632166554,0.6516219799290635
11,1,2,5,300.0,0.3124828970323424,0.6511715257316417
12,1,2,6,0.0,-1.0,-1.0
13,1,3,1,268.0,0.4518688300061783,0.5932714262732535
14,1,3,2,270.0,0.46123070014298334,0.589606762170391
15,1,3,3,280.0,0.41018706639173463,0.6356932788028544
16,1,3,4,326.0,0.26063586625053936,0.7453008852412576
17,1,3,5,26.0,-1.0,-1.0
18,1,3,6,0.0,-1.0,-1.0
19,1,4,1,258.0,0.5066657693915999,0.5463755053068392
20,1,4,2,282.0,0.41444204369175,0.6241285065749835
21,1,4,3,282.0,0.40759665159089536,0.6310472177088693
22,1,4,4,214.0,0.375613352557979,0.43581400157665107
23,1,4,5,0.0,-1.0,-1.0
24,1,4,6,0.0,-1.0,-1.0
25,1,5,1,266.0,0.4009395753726795,0.657407642744425
26,1,5,2,288.0,0.44511423843362063,0.6052183425591092
27,1,5,3,276.0,0.35488798163109,0.6595879198421963
28,1,5,4,12.0,-1.0,-1.0
29,1,5,5,0.0,-1.0,-1.0
30,1,5,6,0.0,-1.0,-1.0
31,1,6,1,282.0,0.48930609081525356,0.5751388101250009
32,1,6,2,266.0,0.4349615180632493,0.5962435639030002
33,1,6,3,278.0,0.3386970134044575,0.6687328751933932
34,1,6,4,0.0,-1.0,-1.0
35,1,6,5,0.0,-1.0,-1.0
36,1,6,6,0.0,-1.0,-1.0
37,1,7,1,276.0,0.44494327628675745,0.5962081236561148
38,1,7,2,254.0,0.3734644118704494,0.6759483593717095
39,1,7,3,280.0,0.34902805855433405,0.6286863798983061
40,1,7,4,0.0,-1.0,-1.0
41,1,7,5,0.0,-1.0,-1.0
42,1,7,6,-1.0,-1.0,-1.0
43,1,8,1,256.0,0.4514252064893241,0.5779706181824938
44,1,8,2,288.0,0.4465858235091367,0.5871037210218428
45,1,8,3,293.0,0.30753832695176114,0.7105286435990905
46,1,8,4,-1.0,-1.0,-1.0
47,1,8,5,-1.0,-1.0,-1.0
48,1,8,6,-1.0,-1.0,-1.0
49,1,9,1,260.0,0.43106715166687226,0.6204866071597616
50,1,9,2,274.0,0.45638166256895046,0.5883209021512585
51,1,9,3,296.0,0.3225089858855648,0.5950792663981607
52,1,9,4,-1.0,-1.0,-1.0
53,1,9,5,-1.0,-1.0,-1.0
54,1,9,6,-1.0,-1.0,-1.0
55,1,10,1,286.0,0.4379245708293111,0.6134441188538504
56,1,10,2,274.0,0.44139451666355917,0.6091511267640346
57,1,10,3,334.0,0.3136948839483933,0.5537805122875857
58,1,10,4,-1.0,-1.0,-1.0
59,1,10,5,-1.0,-1.0,-1.0
60,1,10,6,-1.0,-1.0,-1.0
61,1,11,1,286.0,0.44294873733812234,0.6100841140694371
62,1,11,2,300.0,0.3386470159368462,0.7381937690609831
63,1,11,3,316.0,0.2970777046559103,0.45799834740239914
64,1,11,4,-1.0,-1.0,-1.0
65,1,11,5,-1.0,-1.0,-1.0
66,1,11,6,-1.0,-1.0,-1.0
67,1,12,1,286.0,0.4450775376817649,0.6176739826927471
68,1,12,2,308.0,0.39914854940894845,0.6671666454219556
69,1,12,3,362.0,0.24052215551585013,0.35812608127748574
70,1,12,4,-1.0,-1.0,-1.0
71,1,12,5,-1.0,-1.0,-1.0
72,1,12,6,-1.0,-1.0,-1.0
73,1,13,1,276.0,0.46704094177488564,0.5664286562358041
74,1,13,2,296.0,0.39572702951507166,0.6535991889884347
75,1,13,3,246.0,0.25346646015591945,0.32239893883278026
76,1,13,4,-1.0,-1.0,-1.0
77,1,13,5,-1.0,-1.0,-1.0
78,1,13,6,-1.0,-1.0,-1.0
79,1,14,1,230.0,0.3553154771674725,0.6817126450808401
80,1,14,2,308.0,0.3664593573607898,0.7089408053649585
81,1,14,3,41.0,-1.0,-1.0
82,1,14,4,-1.0,-1.0,-1.0
83,1,14,5,-1.0,-1.0,-1.0
84,1,14,6,-1.0,-1.0,-1.0
85,2,1,1,258.0,0.48818231755050745,0.5831742129517062
86,2,1,2,234.0,0.4840432757769227,0.572763243438963
87,2,1,3,246.0,0.48789037312718253,0.5738928437993946
88,2,1,4,216.0,0.5775309162674858,0.44259493337812555
89,2,1,5,146.0,0.6136784267548739,0.41907643940357053
90,2,1,6,4.0,-1.0,-1.0
91,2,2,1,256.0,0.4288236518386952,0.6166653726231597
92,2,2,2,250.0,0.4420331904475696,0.6346337900810581
93,2,2,3,264.0,0.4161533658257669,0.6363837191440892
94,2,2,4,282.0,0.32085135704171497,0.6736434804822086
95,2,2,5,288.0,0.3484528171846909,0.40280472694345676
96,2,2,6,0.0,-1.0,-1.0
97,2,3,1,258.0,0.4291224110764472,0.6516279298560204
98,2,3,2,264.0,0.47204744111117974,0.5944502669479028
99,2,3,3,266.0,0.3843214444637084,0.6964261397008484
100,2,3,4,290.0,0.3270413432544034,0.5101860801622937
101,2,3,5,18.0,-1.0,-1.0
102,2,3,6,0.0,-1.0,-1.0
103,2,4,1,278.0,0.42829104703238563,0.6207515913372044
104,2,4,2,256.0,0.4084565953978356,0.654647997808948
105,2,4,3,300.0,0.3351445901506072,0.7200857148591108
106,2,4,4,12.0,-1.0,-1.0
107,2,4,5,0.0,-1.0,-1.0
108,2,4,6,0.0,-1.0,-1.0
109,2,5,1,256.0,0.4451266776664271,0.6099092289167335
110,2,5,2,288.0,0.4640503052681525,0.5903096890828095
111,2,5,3,302.0,0.3023734216097402,0.7219002567569487
112,2,5,4,0.0,-1.0,-1.0
113,2,5,5,0.0,-1.0,-1.0
114,2,5,6,0.0,-1.0,-1.0
115,2,6,1,274.0,0.4290635601286333,0.6648003560212088
116,2,6,2,282.0,0.3778146393466238,0.6627746756073722
117,2,6,3,286.0,0.26216816983567043,0.7325150231554659
118,2,6,4,0.0,-1.0,-1.0
119,2,6,5,0.0,-1.0,-1.0
120,2,6,6,0.0,-1.0,-1.0
121,2,7,1,306.0,0.46028817882216566,0.6130162572671689
122,2,7,2,260.0,0.424082165617649,0.6170855424896192
123,2,7,3,294.0,0.29526706313569984,0.670632046970873
124,2,7,4,-1.0,-1.0,-1.0
125,2,7,5,-1.0,-1.0,-1.0
126,2,7,6,26.0,-1.0,-1.0
127,2,8,1,270.0,0.4633469949378828,0.6013544826602688
128,2,8,2,288.0,0.39402610139075256,0.687693161946173
129,2,8,3,310.0,0.31598695704000973,0.5373347578916841
130,2,8,4,-1.0,-1.0,-1.0
131,2,8,5,-1.0,-1.0,-1.0
132,2,8,6,-1.0,-1.0,-1.0
133,2,9,1,272.0,0.4485876597892585,0.5707791969219118
134,2,9,2,262.0,0.3729346104990144,0.691170018994207
135,2,9,3,336.0,0.25605876487048845,0.3626044831472463
136,2,9,4,-1.0,-1.0,-1.0
137,2,9,5,-1.0,-1.0,-1.0
138,2,9,6,-1.0,-1.0,-1.0
139,2,10,1,260.0,0.4377029755436329,0.6116673187374629
140,2,10,2,254.0,0.3486256604971744,0.6960138147255025
141,2,10,3,271.0,0.30458357720356166,0.37501486904071785
142,2,10,4,-1.0,-1.0,-1.0
143,2,10,5,-1.0,-1.0,-1.0
144,2,10,6,-1.0,-1.0,-1.0
145,2,11,1,286.0,0.3752363697910911,0.6890379769213639
146,2,11,2,306.0,0.33195939395470203,0.7510122151268722
147,2,11,3,33.0,-1.0,-1.0
148,2,11,4,-1.0,-1.0,-1.0
149,2,11,5,-1.0,-1.0,-1.0
150,2,11,6,-1.0,-1.0,-1.0
151,2,12,1,256.0,0.42843919748382275,0.6241780305133074
152,2,12,2,284.0,0.30281469857116133,0.7495441913915624
153,2,12,3,16.0,-1.0,-1.0
154,2,12,4,-1.0,-1.0,-1.0
155,2,12,5,-1.0,-1.0,-1.0
156,2,12,6,-1.0,-1.0,-1.0
157,2,13,1,272.0,0.36030521240033425,0.6767284666987892
158,2,13,2,268.0,0.30996321458118903,0.6982087832654892
159,2,13,3,22.0,-1.0,-1.0
160,2,13,4,-1.0,-1.0,-1.0
161,2,13,5,-1.0,-1.0,-1.0
162,2,13,6,-1.0,-1.0,-1.0
163,2,14,1,298.0,0.3733324861779256,0.6898584132557972
164,2,14,2,292.0,0.3095904694378746,0.732030496213808
165,2,14,3,0.0,-1.0,-1.0
166,2,14,4,-1.0,-1.0,-1.0
167,2,14,5,-1.0,-1.0,-1.0
168,2,14,6,-1.0,-1.0,-1.0
169,3,1,1,260.0,0.4054115724211713,0.6455281839940475
170,3,1,2,240.0,0.47006694898623486,0.612131457545092
171,3,1,3,236.0,0.5516976023042469,0.5075822262972285
172,3,1,4,150.0,0.6366763207096955,0.3974699958329343
173,3,1,5,54.0,0.5932920828601127,0.39514320940507325
174,3,1,6,2.0,-1.0,-1.0
175,3,2,1,284.0,0.47293896679215164,0.5995593381810089
176,3,2,2,230.0,0.38114644393629904,0.7040221006201693
177,3,2,3,232.0,0.40275948085945185,0.6878636299397265
178,3,2,4,290.0,0.2789510468383055,0.7360599116665206
179,3,2,5,298.0,0.3492062956264222,0.42287952783651717
180,3,2,6,0.0,-1.0,-1.0
181,3,3,1,270.0,0.4352199010879606,0.6120378241847756
182,3,3,2,250.0,0.4927889098528156,0.5650385749403559
183,3,3,3,266.0,0.32840376898652707,0.7296470554424234
184,3,3,4,338.0,0.29532418805850885,0.44253178555177
185,3,3,5,32.0,-1.0,-1.0
186,3,3,6,0.0,-1.0,-1.0
187,3,4,1,280.0,0.4128318803193357,0.6565437619871369
188,3,4,2,304.0,0.40780849619697274,0.6723200199832655
189,3,4,3,260.0,0.28953525359383003,0.7308499147754507
190,3,4,4,0.0,-1.0,-1.0
191,3,4,5,0.0,-1.0,-1.0
192,3,4,6,0.0,-1.0,-1.0
193,3,5,1,284.0,0.4538268867311005,0.6477428981549482
194,3,5,2,262.0,0.3753908704572978,0.6869256847947564
195,3,5,3,246.0,0.25304434402664866,0.7853922315891289
196,3,5,4,0.0,-1.0,-1.0
197,3,5,5,0.0,-1.0,-1.0
198,3,5,6,0.0,-1.0,-1.0
199,3,6,1,276.0,0.377373516475509,0.6667273455124898
200,3,6,2,272.0,0.3781058706106163,0.7055642261709235
201,3,6,3,306.0,0.23489583816224593,0.7847057564406668
202,3,6,4,0.0,-1.0,-1.0
203,3,6,5,0.0,-1.0,-1.0
204,3,6,6,0.0,-1.0,-1.0
205,3,7,1,260.0,0.4528053814074546,0.6214619623144618
206,3,7,2,274.0,0.373480338507549,0.6578639381781543
207,3,7,3,312.0,0.2733609303259417,0.6421684127657549
208,3,7,4,0.0,-1.0,-1.0
209,3,7,5,-1.0,-1.0,-1.0
210,3,7,6,0.0,-1.0,-1.0
211,3,8,1,266.0,0.44525239931749927,0.6114507812548774
212,3,8,2,258.0,0.2761708907907709,0.799143116134151
213,3,8,3,334.0,0.30591774131382315,0.5014076162901988
214,3,8,4,0.0,-1.0,-1.0
215,3,8,5,-1.0,-1.0,-1.0
216,3,8,6,-1.0,-1.0,-1.0
217,3,9,1,260.0,0.3640117150967592,0.7111810148970368
218,3,9,2,268.0,0.3459964634814241,0.7191707679623
219,3,9,3,324.0,0.2500309143261127,0.3195419331078061
220,3,9,4,-1.0,-1.0,-1.0
221,3,9,5,-1.0,-1.0,-1.0
222,3,9,6,-1.0,-1.0,-1.0
223,3,10,1,262.0,0.3372918441542765,0.7222262800900491
224,3,10,2,260.0,0.3598197826862984,0.6873535332343222
225,3,10,3,103.0,0.48501061072703056,0.4400051713094888
226,3,10,4,-1.0,-1.0,-1.0
227,3,10,5,-1.0,-1.0,-1.0
228,3,10,6,-1.0,-1.0,-1.0
229,3,11,1,266.0,0.3689783858808346,0.6998702017559458
230,3,11,2,286.0,0.2873481689649927,0.7935071005757943
231,3,11,3,26.0,-1.0,-1.0
232,3,11,4,-1.0,-1.0,-1.0
233,3,11,5,-1.0,-1.0,-1.0
234,3,11,6,-1.0,-1.0,-1.0
235,3,12,1,278.0,0.42155654743249915,0.6416379340426409
236,3,12,2,284.0,0.2993801898685182,0.7889540982210418
237,3,12,3,26.0,-1.0,-1.0
238,3,12,4,-1.0,-1.0,-1.0
239,3,12,5,-1.0,-1.0,-1.0
240,3,12,6,-1.0,-1.0,-1.0
241,3,13,1,282.0,0.3665244633671297,0.7011163731921211
242,3,13,2,296.0,0.31121068185570006,0.7456222627936095
243,3,13,3,0.0,-1.0,-1.0
244,3,13,4,-1.0,-1.0,-1.0
245,3,13,5,-1.0,-1.0,-1.0
246,3,13,6,-1.0,-1.0,-1.0
247,3,14,1,282.0,0.34379819452492855,0.7342809727257263
248,3,14,2,282.0,0.309028653546863,0.7287928866960145
249,3,14,3,0.0,-1.0,-1.0
250,3,14,4,-1.0,-1.0,-1.0
251,3,14,5,-1.0,-1.0,-1.0
252,3,14,6,-1.0,-1.0,-1.0
253,4,1,1,292.0,0.48611312733132633,0.6077198428238744
254,4,1,2,246.0,0.401132587613723,0.6715838908743436
255,4,1,3,230.0,0.63285515397245,0.41696149349960926
256,4,1,4,62.0,0.6039593835675635,0.4071419096039919
257,4,1,5,16.0,-1.0,-1.0
258,4,1,6,2.0,-1.0,-1.0
259,4,2,1,260.0,0.4352696467199689,0.634869927549063
260,4,2,2,288.0,0.4882039491080277,0.6146283090276967
261,4,2,3,258.0,0.3547632970565912,0.7097345645461114
262,4,2,4,287.0,0.2534116454038262,0.7897770889943739
263,4,2,5,334.0,0.2692121119437054,0.44079107155334724
264,4,2,6,0.0,-1.0,-1.0
265,4,3,1,268.0,0.38057750314590594,0.6862991972368089
266,4,3,2,308.0,0.4148158119300293,0.674851351006395
267,4,3,3,264.0,0.3003341071478982,0.7412479628290003
268,4,3,4,270.0,0.2874428977015127,0.6469766411349406
269,4,3,5,30.0,-1.0,-1.0
270,4,3,6,0.0,-1.0,-1.0
271,4,4,1,274.0,0.4197930495824032,0.6597032254617194
272,4,4,2,272.0,0.41307745577959576,0.651227091508688
273,4,4,3,280.0,0.29924041403810686,0.7769641182906212
274,4,4,4,20.0,-1.0,-1.0
275,4,4,5,0.0,-1.0,-1.0
276,4,4,6,0.0,-1.0,-1.0
277,4,5,1,256.0,0.38903960647938085,0.6861738171960804
278,4,5,2,264.0,0.3460084885110954,0.6960576869198292
279,4,5,3,272.0,0.3074554733480321,0.7554686811546417
280,4,5,4,0.0,-1.0,-1.0
281,4,5,5,0.0,-1.0,-1.0
282,4,5,6,0.0,-1.0,-1.0
