x,ya,yb,yc,yd
0.0,-0.5,3.61,2.198,1.0
0.01,-0.5,3.593,2.1895,1.0
0.02,-0.5,3.576,2.181,1.0
0.030000000000000002,-0.5,3.5595,2.1725000000000003,1.0
0.04,-0.5,3.543,2.1645000000000003,1.0
0.05,-0.5,3.5265,2.1559999999999997,1.0
0.060000000000000005,-0.5,3.5105,2.1479999999999997,1.0
0.06999999999999999,-0.5,3.4945,2.1399999999999997,1.0
0.08,-0.5,3.4785,2.1325000000000003,1.0
0.09,-0.5,3.463,2.1245000000000003,1.0
0.1,-0.5,3.4475,2.1165000000000003,1.0
0.11,-0.5,3.432,2.109,1.0
0.12000000000000001,-0.5,3.4165,2.1014999999999997,1.0
0.13,-0.5,3.4015,2.0940000000000003,1.0
0.13999999999999999,-0.5,3.387,2.0865,1.0
0.15,-0.5,3.372,2.0789999999999997,1.0
0.16,-0.5,3.3575,2.072,1.0
0.17,-0.5,3.343,2.065,1.0
0.18,-0.5,3.329,2.0575,1.0
0.19,13.432,3.315,2.0505,1.0
0.2,13.362,3.301,2.0435,1.0
0.21000000000000002,13.293,3.287,2.0365,1.0
0.22,13.225,3.2735,2.0300000000000002,1.0
0.23,13.157,3.26,2.0229999999999997,1.0
0.24000000000000002,13.0905,3.2465,2.0164999999999997,1.0
0.25,13.024,3.2335,2.01,1.0
0.26,12.959,3.22,2.0035,1.0
0.27,12.894,3.2075,1.994,1.0
0.27999999999999997,12.83,3.1945,1.981,1.0
0.29,12.7665,3.1815,1.968,1.0
0.3,12.7035,3.169,1.955,1.0
0.31,12.6415,3.1565,1.943,1.0
0.32,12.58,3.1445,1.931,1.0
0.33,12.5195,3.132,1.918,1.0
0.34,12.459,3.12,1.906,1.0
0.35,12.3995,3.108,1.894,1.0
0.36,12.3405,3.0965,1.883,1.0
0.37,12.2825,3.0845,1.871,1.0
0.38,12.2245,3.073,1.859,1.0
0.39,12.1675,3.0615,1.848,1.0
0.4,12.111,3.0505,1.836,1.0
0.41000000000000003,12.055,3.039,1.825,1.0
0.42000000000000004,11.9995,3.028,1.814,1.0
0.43000000000000005,11.945,3.017,1.803,1.0
0.44,11.8905,3.006,1.792,1.0
0.45,11.837,2.9955,1.781,1.0
0.46,11.784,2.9844999999999997,1.77,1.0
0.47000000000000003,11.7315,2.974,1.76,1.0
0.48000000000000004,11.6795,2.9635,1.749,1.0
0.49,11.628,2.9530000000000003,1.739,1.0
0.5,11.577,2.943,1.728,1.0
0.51,11.5265,2.933,1.718,1.0
0.52,11.4765,2.9225000000000003,1.708,1.0
0.53,11.427,2.9125,1.698,1.0
0.54,11.378,2.903,1.688,1.0
0.5499999999999999,11.3295,2.893,1.678,1.0
0.5599999999999999,11.282,2.8834999999999997,1.668,1.0
0.5700000000000001,11.2345,2.874,1.659,1.0
0.58,11.1875,2.8645,1.649,1.0
0.5900000000000001,11.141,2.855,1.639,1.0
0.6,11.095,2.8455,1.63,1.0
0.6100000000000001,11.0495,2.8365,1.621,1.0
0.62,11.0045,2.8274999999999997,1.612,1.0
0.6300000000000001,10.96,2.8185000000000002,1.602,1.0
0.64,10.9155,2.8095,1.593,1.0
0.6499999999999999,10.872,2.8005,1.584,1.0
0.66,10.829,2.792,1.575,1.0
0.6699999999999999,10.786,2.783,1.567,1.0
0.68,10.7435,2.7744999999999997,1.558,1.0
0.69,10.7015,2.766,1.549,1.0
0.7,10.66,2.7575000000000003,1.541,1.0
0.71,10.619,2.7495000000000003,1.532,1.0
0.72,10.5785,2.741,1.524,1.0
0.73,10.538,2.733,1.516,1.0
0.74,10.4985,2.725,1.507,1.0
0.75,10.459,2.717,1.499,1.0
0.76,10.42,2.709,1.491,1.0
0.77,10.3815,2.701,1.483,1.0
0.78,10.343,2.6935000000000002,1.475,1.0
0.7899999999999999,10.3055,2.6855,1.467,1.0
0.8,10.268,2.678,1.459,1.0
0.8099999999999999,10.231,2.6705,1.452,1.0
0.8200000000000001,10.194,2.6630000000000003,1.444,1.0
0.83,10.158,2.6555,1.436,1.0
0.8400000000000001,10.122,2.6479999999999997,1.429,1.0
0.85,10.0865,2.641,1.421,1.0
0.8600000000000001,10.051,2.6334999999999997,1.414,1.0
0.87,10.0165,2.6265,1.407,1.0
0.88,9.982,2.6195,1.399,1.0
0.89,9.948,2.6125,1.392,1.0
0.9,9.914,2.6055,1.385,1.0
0.91,9.881,2.599,1.378,1.0
0.92,9.8475,2.592,1.371,1.0
0.9299999999999999,9.815,2.5854999999999997,1.364,1.0
0.9400000000000001,9.7825,2.5785,1.357,1.0
0.95,9.7505,2.572,1.35,1.0
0.9600000000000001,9.719,2.5655,1.344,1.0
0.97,9.6875,2.559,1.337,1.0
0.98,9.6565,2.5525,1.33,1.0
0.99,9.626,2.5465,1.324,1.0
