x,ya,yb,yc,yd
0.0,-0.5,3.779,2.2735000000000003,1.0
0.01,-0.5,3.761,2.2645,1.0
0.02,-0.5,3.743,2.2560000000000002,1.0
0.030000000000000002,-0.5,3.7255,2.247,1.0
0.04,-0.5,3.708,2.2385,1.0
0.05,-0.5,3.691,2.23,1.0
0.060000000000000005,-0.5,3.674,2.2215,1.0
0.06999999999999999,-0.5,3.657,2.213,1.0
0.08,-0.5,3.6405,2.2045,1.0
0.09,-0.5,3.624,2.1965,1.0
0.1,-0.5,3.608,2.1885,1.0
0.11,-0.5,3.5915,2.1805000000000003,1.0
0.12000000000000001,-0.5,3.576,2.1725000000000003,1.0
0.13,-0.5,3.56,2.1645000000000003,1.0
0.13999999999999999,-0.5,3.5445,2.157,1.0
0.15,-0.5,3.529,2.149,1.0
0.16,-0.5,3.5135,2.1414999999999997,1.0
0.17,-0.5,3.4985,2.134,1.0
0.18,-0.5,3.4835,2.1265,1.0
0.19,-0.5,3.469,2.1189999999999998,1.0
0.2,-0.5,3.454,2.112,1.0
0.21000000000000002,-0.5,3.44,2.1045,1.0
0.22,-0.5,3.4255,2.0975,1.0
0.23,-0.5,3.4115,2.0905,1.0
0.24000000000000002,-0.5,3.397,2.0835,1.0
0.25,-0.5,3.3835,2.0765000000000002,1.0
0.26,-0.5,3.3695,2.0694999999999997,1.0
0.27,-0.5,3.356,2.0625,1.0
0.27999999999999997,-0.5,3.3425,2.056,1.0
0.29,-0.5,3.329,2.0495,1.0
0.3,13.4995,3.316,2.0425,1.0
0.31,13.434,3.303,2.036,1.0
0.32,13.3695,3.29,2.0300000000000002,1.0
0.33,13.306,3.2775,2.0235000000000003,1.0
0.34,13.2425,3.2645,2.017,1.0
0.35,13.18,3.252,2.011,1.0
0.36,13.1185,3.24,2.0045,1.0
0.37,13.057,3.2275,1.997,1.0
0.38,12.9965,3.2155,1.985,1.0
0.39,12.937,3.2035,1.973,1.0
0.4,12.8775,3.1915,1.961,1.0
0.41000000000000003,12.819,3.1795,1.949,1.0
0.42000000000000004,12.761,3.168,1.937,1.0
0.43000000000000005,12.7035,3.1565,1.926,1.0
0.44,12.6465,3.145,1.914,1.0
0.45,12.59,3.134,1.903,1.0
0.46,12.5345,3.1225,1.891,1.0
0.47000000000000003,12.4795,3.1115,1.88,1.0
0.48000000000000004,12.425,3.1005,1.869,1.0
0.49,12.371,3.09,1.858,1.0
0.5,12.3175,3.079,1.848,1.0
0.51,12.2645,3.0685,1.837,1.0
0.52,12.2125,3.058,1.826,1.0
0.53,12.1605,3.0475,1.816,1.0
0.54,12.1095,3.037,1.805,1.0
0.5499999999999999,12.059,3.027,1.795,1.0
0.5599999999999999,12.0085,3.017,1.785,1.0
0.5700000000000001,11.959,3.007,1.775,1.0
0.58,11.91,2.997,1.765,1.0
0.5900000000000001,11.861,2.987,1.755,1.0
0.6,11.813,2.9775,1.745,1.0
0.6100000000000001,11.7655,2.968,1.735,1.0
0.62,11.7185,2.9585,1.726,1.0
0.6300000000000001,11.6715,2.949,1.716,1.0
0.64,11.6255,2.9395,1.707,1.0
0.6499999999999999,11.58,2.9305000000000003,1.697,1.0
0.66,11.5345,2.9210000000000003,1.688,1.0
0.6699999999999999,11.49,2.912,1.679,1.0
0.68,11.4455,2.903,1.67,1.0
0.69,11.402,2.894,1.661,1.0
0.7,11.3585,2.8855,1.652,1.0
0.71,11.3155,2.8765,1.643,1.0
0.72,11.273,2.8680000000000003,1.634,1.0
0.73,11.231,2.8594999999999997,1.625,1.0
0.74,11.1895,2.851,1.617,1.0
0.75,11.1485,2.843,1.608,1.0
0.76,11.1075,2.8345000000000002,1.6,1.0
0.77,11.0675,2.8265000000000002,1.591,1.0
0.78,11.0275,2.818,1.583,1.0
0.7899999999999999,10.988,2.81,1.575,1.0
0.8,10.949,2.802,1.567,1.0
0.8099999999999999,10.9105,2.7945,1.559,1.0
0.8200000000000001,10.872,2.7865,1.551,1.0
0.83,10.8345,2.779,1.543,1.0
0.8400000000000001,10.797,2.771,1.535,1.0
0.85,10.76,2.7635,1.527,1.0
0.8600000000000001,10.723,2.7560000000000002,1.52,1.0
0.87,10.687,2.7485,1.512,1.0
0.88,10.651,2.7415000000000003,1.504,1.0
0.89,10.6155,2.734,1.497,1.0
0.9,10.5805,2.7270000000000003,1.489,1.0
