x, y, yy
0.3, 6.1676286734435, 3.7
0.31, 5.771169369460611, 3.72
0.32, 5.429945197202847, 3.73
0.33, 5.135790827362415, 3.73
0.34, 4.881944073813711, 3.72
0.35, 4.662772759120077, 3.7
0.36, 4.473560659884031, 3.69
0.37, 4.310338539513955, 3.67
0.38, 4.169749862817481, 3.66
0.39, 4.048943387712686, 3.64
0.4, 3.945486732693455, 3.63
0.41, 3.8572964236943927, 3.62
0.42, 3.7825809696820483, 3.61
0.43, 3.719794300613032, 3.6
0.44, 3.667597494019117, 3.59
0.45, 3.6248271673972923, 3.59
0.46, 3.590469258968867, 3.59
0.47, 3.5636371856038513, 3.59
0.48, 3.543553573166915, 3.6
0.49, 3.529534915572853, 3.61
0.5, 3.520978645131496, 3.61
0.51, 3.5173521963310597, 3.6
0.52, 3.5181837241058966, 3.6
0.53, 3.5230542004537746, 3.6
0.54, 3.5315906635175236, 3.6
0.55, 3.5434604336201696, 3.61
0.56, 3.558366143321134, 3.62
0.57, 3.576041454956985, 3.64
0.58, 3.5962473606016094, 3.66
0.59, 3.6187689769127687, 3.68
0.6, 3.6434127617000867, 3.7
0.61, 3.670004090866251, 3.73
0.62, 3.6983851441249476, 3.75
0.63, 3.7284130559729682, 3.78
0.64, 3.7599582951002812, 3.81
0.65, 3.792903241009129, 3.84
0.66, 3.8271409312822713, 3.87
0.67, 3.862573956853302, 3.91
0.68, 3.8991134859202465, 3.94
0.69, 3.9366783999145123, 3.98
0.7, 3.9751945272783025, 4.01
0.71, 4.014593962786403, 4.05
0.72, 4.05481446183194, 4.09
0.73, 4.095798900528628, 4.13
0.74, 4.137494793704518, 4.17
0.75, 4.179853863907525, 4.21
0.76, 4.2228316554386405, 4.25
0.77, 4.266387188197926, 4.3
0.78, 4.310482646790153, 4.34
0.79, 4.355083100907722, 4.38
0.8, 4.4001562535014305, 4.43
0.81, 4.445672213676459, 4.47
0.82, 4.4916032916210025, 4.52
0.83, 4.537923813196513, 4.56
0.84, 4.584609952098272, 4.61
0.85, 4.631639577739049, 4.66
0.86, 4.678992117221533, 4.7
0.87, 4.726648429951635, 4.75
0.88, 4.774590693607944, 4.8
0.89, 4.8228023003259475, 4.84
0.9, 4.871267762081416, 4.89
0.91, 4.919972624368241, 4.94
0.92, 4.968903387363587, 4.99
0.93, 5.018047433859496, 5.04
0.94, 5.06739296331618, 5.09
0.95, 5.116928931459764, 5.13
0.96, 5.166644994906907, 5.18
0.97, 5.216531460351856, 5.23
0.98, 5.2665792378985286, 5.28
0.99, 5.3167797981621945, 5.33
1.0, 5.367125132802652, 5.38
1.01, 5.417607718184097, 5.43
1.02, 5.468220481886608, 5.48
1.03, 5.518956771820744, 5.53
1.04, 5.569810327720586, 5.58
1.05, 5.620775254811765, 5.63
1.06, 5.67184599947021, 5.69
1.07, 5.723017326704475, 5.74
1.08, 5.774284299309893, 5.79
1.09, 5.825642258556733, 5.84
1.1, 5.877086806286957, 5.89
1.11, 5.928613788305486, 5.94
1.12, 5.980219278962008, 5.99
1.13, 6.031899566828557, 6.04
1.14, 6.083651141386348, 6.1
1.15, 6.135470680642899, 6.15
1.16, 6.187355039607244, 6.2
1.17, 6.239301239557156, 6.25
1.18, 6.291306458038003, 6.3
1.19, 6.34336801953776, 6.35
1.2, 6.395483386787476, 6.41
