x,yp,zp,ynop,znop
0.3,50.86,11.06,85.16,15.42
0.31,47.32,10.26,78.94,14.16
0.32,44.19,9.55,73.44,13.04
0.33,41.41,8.92,68.57,12.05
0.34,38.93,8.35,63.66,11.17
0.35,36.71,7.84,59.83,10.39
0.36,34.73,7.38,56.4,9.68
0.37,32.95,6.96,53.34,9.05
0.38,31.35,6.59,50.15,8.48
0.39,29.92,6.24,47.69,7.97
0.4,28.62,5.93,45.48,7.51
0.41,27.46,5.65,43.15,7.09
0.42,26.41,5.39,41.36,6.71
0.43,25.47,5.16,39.77,6.37
0.44,24.62,4.94,38.33,6.06
0.45,23.87,4.74,36.74,5.79
0.46,23.2,4.56,35.6,5.54
0.47,22.6,4.4,34.59,5.31
0.48,22.08,4.25,33.69,5.11
0.49,21.63,4.12,32.64,4.92
0.5,21.25,4.0,31.96,4.76
0.51,20.93,3.9,31.39,4.62
0.52,20.67,3.8,30.91,4.5
0.53,20.46,3.72,30.54,4.4
0.54,20.31,3.65,30.03,4.31
0.55,20.24,3.6,29.85,4.24
0.56,20.24,3.56,29.78,4.19
0.57,20.33,3.54,29.82,4.16
0.58,20.52,3.53,29.98,4.15
0.59,20.79,3.53,30.28,4.16
0.6,21.21,3.56,30.72,4.2
0.61,21.74,3.61,31.34,4.26
0.62,22.5,3.69,32.16,4.36
0.63,23.41,3.8,33.24,4.5
0.64,24.56,3.94,34.88,4.68
0.65,26.04,4.14,36.67,4.92
0.66,27.96,4.41,38.98,5.25
0.67,30.41,4.76,42.02,5.68
0.68,34.0,5.24,46.44,6.26
0.69,38.62,5.91,52.08,7.08
0.7,45.28,6.9,60.74,8.27
0.71,55.7,8.44,73.45,10.13
0.72,73.3,11.13,96.22,13.36
0.73,100.0,16.83,100.0,20.19
0.74,100.0,35.53,100.0,42.92
0.75,100.0,100.0,100.0,100.0
0.76,100.0,100.0,100.0,100.0
0.77,100.0,100.0,100.0,100.0
0.78,100.0,100.0,100.0,100.0
0.79,100.0,100.0,100.0,100.0
0.8,100.0,100.0,100.0,100.0
0.81,100.0,100.0,100.0,100.0
0.82,100.0,100.0,100.0,100.0
0.83,100.0,100.0,100.0,100.0
0.84,100.0,100.0,100.0,100.0
0.85,100.0,100.0,100.0,100.0
0.86,100.0,100.0,100.0,100.0
0.87,100.0,100.0,100.0,100.0
0.88,100.0,100.0,100.0,100.0
0.89,100.0,100.0,100.0,100.0
0.9,100.0,100.0,100.0,100.0
0.91,100.0,100.0,100.0,100.0
0.92,100.0,100.0,100.0,100.0
0.93,100.0,100.0,100.0,100.0
0.94,100.0,100.0,100.0,100.0
0.95,100.0,100.0,100.0,100.0
0.96,100.0,100.0,100.0,100.0
0.97,100.0,100.0,100.0,100.0
0.98,100.0,100.0,100.0,100.0
0.99,100.0,100.0,100.0,100.0
1.0,100.0,100.0,100.0,100.0
1.01,100.0,100.0,100.0,100.0
1.02,100.0,100.0,100.0,100.0
1.03,100.0,100.0,100.0,100.0
1.04,100.0,100.0,100.0,100.0
1.05,100.0,100.0,100.0,100.0
1.06,100.0,100.0,100.0,100.0
1.07,100.0,100.0,100.0,100.0
1.08,100.0,100.0,100.0,100.0
1.09,100.0,100.0,100.0,100.0
1.1,100.0,100.0,100.0,100.0
1.11,100.0,100.0,100.0,100.0
1.12,100.0,100.0,100.0,100.0
1.13,100.0,100.0,100.0,100.0
1.14,100.0,100.0,100.0,100.0
1.15,100.0,100.0,100.0,100.0
1.16,100.0,100.0,100.0,100.0
1.17,100.0,100.0,100.0,100.0
1.18,100.0,100.0,100.0,100.0
1.19,100.0,100.0,100.0,100.0
1.2,100.0,100.0,100.0,100.0
