x,yp,zp,wp,ynop,znop,wnop
0.3,50.86,31.49,11.06,85.16,50.32,15.42
0.31,47.32,29.31,10.26,78.94,46.47,14.16
0.32,44.19,27.38,9.55,73.44,43.09,13.04
0.33,41.41,25.66,8.92,68.57,40.09,12.05
0.34,38.93,24.12,8.35,63.66,37.44,11.17
0.35,36.71,22.75,7.84,59.83,35.08,10.39
0.36,34.73,21.52,7.38,56.4,32.97,9.68
0.37,32.95,20.42,6.96,53.34,31.09,9.05
0.38,31.35,19.43,6.59,50.15,29.29,8.48
0.39,29.92,18.53,6.24,47.69,27.78,7.97
0.4,28.62,17.73,5.93,45.48,26.43,7.51
0.41,27.46,17,5.65,43.15,25.12,7.09
0.42,26.41,16.35,5.39,41.36,24.03,6.71
0.43,25.47,15.76,5.16,39.77,23.06,6.37
0.44,24.62,15.23,4.94,38.33,22.1,6.06
0.45,23.87,14.76,4.74,36.74,21.31,5.79
0.46,23.2,14.34,4.56,35.6,20.55,5.54
0.47,22.6,13.96,4.4,34.59,19.86,5.31
0.48,22.08,13.63,4.25,33.69,19.3,5.11
0.49,21.63,13.35,4.12,32.64,18.81,4.92
0.5,21.25,13.1,4,31.96,18.33,4.76
0.51,20.93,12.9,3.9,31.39,17.96,4.62
0.52,20.67,12.74,3.8,30.91,17.65,4.5
0.53,20.46,12.61,3.72,30.54,17.35,4.4
0.54,20.31,12.53,3.65,30.03,17.19,4.31
0.55,20.24,12.49,3.6,29.85,17.04,4.24
0.56,20.24,12.5,3.56,29.78,16.95,4.19
0.57,20.33,12.55,3.54,29.82,16.97,4.16
0.58,20.52,12.66,3.53,29.98,17.04,4.15
0.59,20.79,12.82,3.53,30.28,17.19,4.16
0.6,21.21,13.05,3.56,30.72,17.41,4.2
0.61,21.74,13.36,3.61,31.34,17.77,4.26
0.62,22.5,13.77,3.69,32.16,18.25,4.36
0.63,23.41,14.28,3.8,33.24,18.86,4.5
0.64,24.56,14.94,3.94,34.88,19.65,4.68
0.65,26.04,15.78,4.14,36.67,20.7,4.92
0.66,27.96,16.85,4.41,38.98,22.06,5.25
0.67,30.41,18.11,4.76,42.02,23.82,5.68
0.68,34,19.82,5.24,46.44,26.26,6.26
0.69,38.62,22.22,5.91,52.08,29.52,7.08
0.7,45.28,25.78,6.9,60.74,34.32,8.27
0.71,55.7,31.48,8.44,73.45,41.78,10.13
0.72,73.3,41.58,11.13,96.22,54.62,13.36
0.73,100,62.37,16.83,100,81.54,20.19
0.74,100,100,35.53,100,100,42.92
0.75,100,100,100,100,100,100
0.76,100,100,100,100,100,100
0.77,100,100,100,100,100,100
0.78,100,100,100,100,100,100
0.79,100,100,100,100,100,100
0.8,100,100,100,100,100,100
