y,x,q,s,w,a
1.0,10.0,1.4049710583078228,5.2391047,5.550257,0.0
1.0,9.0,6.343130395056356,1.156463,0.86281675,0.0
1.0,8.0,6.37489178058044,0.1825854,0.16666472,2.03
1.0,7.0,541.5369693248523,0.025467217,0.0018571375,2.8
1.0,6.0,123.55864514201342,0.019544821,0.0017632267,2.68
1.0,5.0,97.65219001203567,0.017416667,0.001083651,2.74
1.0,4.0,261.8170937614757,0.016196527,0.0007048282,2.82
1.0,3.0,173.7608426890796,0.014060035,0.00074165885,2.9
1.0,2.0,140.09295064895915,0.013122162,0.0007507125,2.82
1.0,1.0,118.71225982364443,0.01318171,0.00068822154,2.58
2.0,10.0,0.07772667211360218,2.1932766,1.4907174,0.0
2.0,9.0,5.644012045412997,1.3753891,1.9624897,0.0
2.0,8.0,1.241557608084257,0.66255367,0.91591024,0.08
2.0,7.0,456.2370709126096,0.040527668,0.0053650076,3.0
2.0,6.0,80.0482022349682,0.025611091,0.0024353163,2.95
2.0,5.0,130.43723982185804,0.021741623,0.0020799725,2.88
2.0,4.0,135.49387992374068,0.01962645,0.0015553602,3.0
2.0,3.0,82.49497181070014,0.016603447,0.0011659631,2.96
2.0,2.0,118.08692369524742,0.015689723,0.0011805239,2.56
2.0,1.0,126.45302050585562,0.014794171,0.0011220756,2.78
3.0,10.0,0.01859531611256182,1.737808,1.3267825,0.0
3.0,9.0,0.08002506457316098,1.1523106,1.2527157,0.0
3.0,8.0,0.0753065523994925,0.8623363,1.0307258,0.0
3.0,7.0,362.73259884965853,0.05239917,0.005999946,3.02
3.0,6.0,128.25663020550908,0.030469216,0.0033089782,2.8
3.0,5.0,253.2645989350562,0.025045019,0.0021700156,2.86
3.0,4.0,215.32702469248858,0.023314454,0.0023306825,2.6
3.0,3.0,48.06597911215029,0.019154387,0.0014029772,2.62
3.0,2.0,143.5668345387977,0.016317224,0.0008513981,3.04
3.0,1.0,141.44460636847046,0.01611478,0.0011529552,2.8
4.0,10.0,0.08539819620278183,1.5798192,0.906678,0.0
4.0,9.0,0.029539315552868595,0.88245285,0.7388909,0.0
4.0,8.0,12.03615187721799,1.6001,0.7373033,0.27
4.0,7.0,161.87756863404206,0.037077397,0.005046402,2.76
4.0,6.0,53.89067390697641,0.028436746,0.0025386577,2.76
4.0,5.0,85.6136629454896,0.024805576,0.0028308,2.78
4.0,4.0,137.5823626923003,0.023105273,0.0020109059,2.8
4.0,3.0,119.1508659256487,0.019432347,0.0011045664,2.9
4.0,2.0,171.25806765502696,0.017861655,0.0009769064,2.72
4.0,1.0,138.52435759148494,0.016978044,0.0012914683,2.74
5.0,10.0,0.07111440995983741,1.7714815,0.9924639,0.0
5.0,9.0,0.8834086413919886,0.9258174,0.68905824,0.0
5.0,8.0,158.71026050674695,0.029702703,0.0025231375,2.24
5.0,7.0,263.1371977985272,0.026227897,0.003139508,2.36
5.0,6.0,102.41469337897291,0.024748491,0.0019224709,2.36
5.0,5.0,69.50489426986032,0.02239427,0.0016343377,2.74
5.0,4.0,57.81186495456955,0.022160957,0.0017901453,2.54
5.0,3.0,63.44868017947875,0.020178745,0.0018530535,2.5
5.0,2.0,169.79335685567082,0.018214991,0.0015547863,2.66
5.0,1.0,91.81935701652978,0.018187605,0.0012463816,2.42
6.0,10.0,1.2706642714093683e7,0.0,0.0,0.0
6.0,9.0,64.9127015903775,0.030941667,0.0021593173,0.06
6.0,8.0,30.566325531085788,0.03041613,0.001986806,0.14
6.0,7.0,162.77114839801393,0.02710687,0.0015422856,0.68
6.0,6.0,40.672655283748924,0.024204781,0.001759448,1.26
6.0,5.0,30.055697286787275,0.02286346,0.001989493,1.58
6.0,4.0,26.830121785031352,0.021458186,0.0009984153,2.02
6.0,3.0,62.632542703371364,0.020229371,0.0013712075,2.2
6.0,2.0,139.57440958874477,0.01891545,0.0012742856,2.38
6.0,1.0,60.53096921724356,0.018194456,0.001472362,2.5
7.0,10.0,1.2706642714093683e7,0.0,0.0,0.0
7.0,9.0,1.2706642714093683e7,0.0,0.0,0.0
7.0,8.0,1.2706642714093683e7,0.0,0.0,0.0
7.0,7.0,29.595417991114985,0.02681875,0.00011672617,0.08
7.0,6.0,54.1748954183818,0.025105556,0.0028872143,0.3
7.0,5.0,81.30155265424912,0.024618682,0.0015194964,0.46
7.0,4.0,58.60759303554814,0.023637226,0.0013629018,0.7
7.0,3.0,82.77319295659252,0.020196676,0.002125492,1.66
7.0,2.0,542.8455073034388,0.018866368,0.00093558314,2.28
7.0,1.0,123.58257483777221,0.018476972,0.0009093664,2.4
8.0,10.0,1.2706642714093683e7,0.0,0.0,0.0
8.0,9.0,1.2706642714093683e7,0.0,0.0,0.0
8.0,8.0,1.2706642714093683e7,0.0,0.0,0.0
8.0,7.0,1.2706642714093683e7,0.0,0.0,0.0
8.0,6.0,33.199322079880844,0.0248875,0.0001627882,0.08
8.0,5.0,37.31373860353158,0.0248875,0.00018929694,0.08
8.0,4.0,106.428352959436,0.02456,0.00017733662,0.16
8.0,3.0,78.29295332065249,0.022262584,0.0010279126,0.76
8.0,2.0,328.72135516592425,0.01879202,0.0008882489,2.02
8.0,1.0,2002.878725564231,0.018478077,0.000872095,2.28
9.0,10.0,1.2706642714093683e7,0.0,0.0,0.0
