fn,L,rho0,kd,rhocr,ap,nu1,gamma,kp,zetap,zetap2,zetarho,ar,xi,M,seed,dx,dz,dtmin,t_fin,t_prin,t_check
1,10.0,0.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
2,10.0,0.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
3,10.0,0.6,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
4,10.0,0.7,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
5,10.0,0.8,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
6,10.0,0.9,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
7,10.0,1.0,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
8,10.0,1.1,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
9,10.0,1.2,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
10,10.0,1.3,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
11,10.0,1.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
12,10.0,1.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,0.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
13,10.0,0.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,1.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
14,10.0,0.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,1.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
15,10.0,0.6,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,1.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
16,10.0,0.7,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,1.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
17,10.0,0.8,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,1.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
18,10.0,0.9,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,1.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
19,10.0,1.0,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,1.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
20,10.0,1.1,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,1.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
21,10.0,1.2,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,1.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
22,10.0,1.3,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,1.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
23,10.0,1.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,1.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
24,10.0,1.5,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,1.0,1.3333333333333333,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
25,10.0,0.4,10.0,0.0,0.1,0.0,1.0,0.0001,0.0,0.0,2.0,2.6666666666666665,1.0,0.0001,1.0,0.01,0.01,0.01,100000,1000,1
